id,start,end,computed,needs_recompute,num_retplayers,num_newplayers,num_games,dom_p,dom_t,dom_z
100,2013-12-12,2013-12-25,t,f,524,61,2068,1.00681009673881,1.06568674041375,0.927503162847438
101,2013-12-26,2014-01-08,t,f,701,84,3052,1.015633280171,1.05916675563043,0.925199964198574
102,2014-01-09,2014-01-22,t,f,681,56,3530,1.01031428360748,1.07600534635351,0.913680370039011
103,2014-01-23,2014-02-05,t,f,484,48,2298,1.05127416051401,1.0415043361809,0.90722150330509
107,2014-03-20,2014-04-02,t,f,524,29,1868,1.05969495768544,1.01189719390138,0.92840784841318
108,2014-04-03,2014-04-16,t,f,605,59,2381,1.03698910879271,1.04671579587743,0.916295095329858
110,2014-05-01,2014-05-14,t,f,537,26,2284,1.04066400635016,1.02560129277026,0.933734700879578
70,2012-10-18,2012-10-31,t,f,544,64,2887,0.981223945735696,0.928934991847422,1.08984106241688
111,2014-05-15,2014-05-28,t,f,554,22,2287,1.01213602263192,1.02846721819731,0.959396759170772
112,2014-05-29,2014-06-11,t,f,564,57,3013,1.0071709430547,1.02127099425994,0.971558062685366
113,2014-06-12,2014-06-25,t,f,610,110,3279,0.99912097692766,1.04070111447561,0.960177908596725
119,2014-09-04,2014-09-17,t,f,753,64,3399,0.995053843648307,1.06143173287665,0.943514423475042
123,2014-10-30,2014-11-12,t,f,470,17,2094,1.01206131883219,0.996841813970266,0.99109686719754
124,2014-11-13,2014-11-26,t,f,476,58,2919,1.03097062213222,1.01747482024555,0.951554557622233
125,2014-11-27,2014-12-10,t,f,423,31,1941,1.02764701222224,1.05659437535333,0.915758612424435
129,2015-01-22,2015-02-04,t,f,568,43,2405,0.984290789099055,1.04591020543148,0.96979900546946
126,2014-12-11,2014-12-24,t,f,425,14,2400,1.03570837909021,1.05123471681288,0.913056904096916
96,2013-10-17,2013-10-30,t,f,563,42,2652,0.942409178278678,1.10287074125955,0.954720080461772
130,2015-02-05,2015-02-18,t,f,517,43,2315,0.979420191652549,1.03374727951819,0.986832528829257
131,2015-02-19,2015-03-04,t,f,679,73,4125,1.00215698369279,1.00827834593044,0.989564670376779
71,2012-11-01,2012-11-14,t,f,639,67,2832,0.961727155876111,0.92741866225829,1.1108541818656
72,2012-11-15,2012-11-28,t,f,422,42,1824,1.05258870046079,0.904794924828601,1.04261637471061
133,2015-03-19,2015-04-01,t,f,622,74,2758,1.03129077672958,0.974965809095437,0.993743414174985
134,2015-04-02,2015-04-15,t,f,757,80,5129,1.03507361388349,0.991438645497311,0.973487740619203
81,2013-03-21,2013-04-03,t,f,557,79,2263,0.999068487334483,0.962933093827376,1.03799841883814
87,2013-06-13,2013-06-26,t,f,663,94,3023,0.964799407976437,1.04910140452901,0.986099187494556
97,2013-10-31,2013-11-13,t,f,645,112,3284,0.943953335524856,1.08548107740221,0.970565587072932
114,2014-06-26,2014-07-09,t,f,615,67,2530,0.992103904515347,1.03814156845225,0.969754527032401
115,2014-07-10,2014-07-23,t,f,692,76,4142,0.991183387020666,1.00393607780721,1.00488053517213
116,2014-07-24,2014-08-06,t,f,603,36,3434,0.971904694255305,1.02616046743884,1.00193483830586
117,2014-08-07,2014-08-20,t,f,621,82,3956,1.01291949944957,1.01339225787331,0.973688242677117
118,2014-08-21,2014-09-03,t,f,558,53,2125,0.991192711944876,1.05773968276706,0.951067605288063
76,2013-01-10,2013-01-23,t,f,567,87,2311,1.01845239193794,0.925338618271482,1.05620898979057
82,2013-04-04,2013-04-17,t,f,652,93,2459,0.990537271324774,0.979982040506342,1.02948068816888
136,2015-04-30,2015-05-13,t,f,646,208,3394,1.01524944149163,0.984203739730899,1.00054681877747
168,2016-07-21,2016-08-03,t,f,571,33,2923,1.00321779592573,1.07790069955796,0.918881504516315
169,2016-08-04,2016-08-17,t,f,567,49,2743,1.00522299415969,1.07084982545451,0.923927180385804
170,2016-08-18,2016-08-31,t,f,632,45,2992,0.987996390241364,1.07941313065772,0.932590479100912
171,2016-09-01,2016-09-14,t,f,625,42,2152,0.965239499110527,1.09166764709104,0.943092853798436
172,2016-09-15,2016-09-28,t,f,687,71,3447,0.933311014658637,1.08936587955961,0.977323105781756
173,2016-09-29,2016-10-12,t,f,633,42,2441,0.941400362918306,1.08819251198971,0.970407125091981
174,2016-10-13,2016-10-26,t,f,607,41,2934,0.93289914383754,1.10341282484654,0.963688031315915
175,2016-10-27,2016-11-09,t,f,587,50,2382,0.914496929444772,1.11586106614872,0.969642004406507
137,2015-05-14,2015-05-27,t,f,630,161,2568,1.02510918210774,0.992587097152906,0.982303720739356
138,2015-05-28,2015-06-10,t,f,641,84,2493,1.01502024478111,0.98922050026848,0.995759254950414
139,2015-06-11,2015-06-24,t,f,640,69,3685,1.05218059570098,0.984518504557296,0.963300899741722
140,2015-06-25,2015-07-08,t,f,819,139,5065,1.06145460755066,0.946354106313871,0.992191286135467
141,2015-07-09,2015-07-22,t,f,713,131,3593,0.993207184793683,1.0041368103714,1.00265600483492
142,2015-07-23,2015-08-05,t,f,614,108,2701,0.984658739119753,0.986362842137329,1.02897841874292
143,2015-08-06,2015-08-19,t,f,561,76,2523,0.962932061097961,1.01191074650919,1.02515719239285
